object_name,ra,dec,x,y,date,mjd,exptime,img,hdu_ext,inst,filter
2005 UY6,350.16524,-4.87097,1405.3788493863012,595.384617160616,2007-08-09,54321.4597979,3.0,934738o.fits.fz,3,MegaCam,unknown
2005 UY6,350.16027,-4.87278,1440.2018564924638,500.0285612897542,2007-08-09,54321.4857195,5.0,934750o.fits.fz,3,MegaCam,unknown
2005 UY6,350.15609,-4.87431,1469.6385100018924,419.83013533044686,2007-08-09,54321.5075453,4.0,934762o.fits.fz,3,MegaCam,unknown
2005 UY6,355.28339,-1.78109,2935.7870987552888,2009.1233516045768,2014-07-29,56867.5142149,60.0,1729969p.fits.fz,27,MegaCam,unknown
2005 UY6,355.28315,-1.78117,2975.4540650146337,1987.1830333521366,2014-07-29,56867.5160968,60.0,1729970p.fits.fz,27,MegaCam,unknown
2005 UY6,355.28298,-1.78123,2860.90044080254,1896.7072814652001,2014-07-29,56867.5173536,60.0,1729971p.fits.fz,27,MegaCam,unknown
2005 UY6,13.65169,9.34254,1905.7656245632245,1209.9752105135003,2015-06-19,57192.45129386,60.0,c4d_150619_105142_ooi_i_v1.fits.fz,46,DECam,unknown
2005 UY6,13.65169,9.34254,1905.2863183141321,1209.21978344922,2015-06-19,57192.45129386,60.0,c4d_150619_105142_ooi_i_ls11.fits.fz,46,DECam,unknown
2005 UY6,13.65183,9.34263,2566.7270881439435,410.4734826479098,2015-06-19,57192.45232122,60.0,c4d_150619_105310_ooi_i_v1.fits.fz,23,DECam,unknown
2005 UY6,13.65183,9.34263,2566.4906596644955,409.7760348934921,2015-06-19,57192.45232122,60.0,c4d_150619_105310_ooi_i_ls11.fits.fz,23,DECam,unknown
2005 UY6,13.7937,9.42795,2738.524759955667,1817.822074272549,2015-06-20,57193.41561437,100.0,c4d_150620_100101_ooi_i_v2.fits.fz,49,DECam,unknown
2005 UY6,13.7937,9.42795,2737.90232325922,1817.1147757791323,2015-06-20,57193.41561437,100.0,c4d_150620_100101_ooi_i_ls11.fits.fz,49,DECam,unknown
2005 UY6,14.62734,9.94606,876.1041332971612,1669.7382298921239,2015-06-26,57199.42296046,50.0,c4d_150626_101043_ooi_i_v1.fits.fz,55,DECam,unknown
2005 UY6,14.62734,9.94606,875.862603258893,1669.104990440559,2015-06-26,57199.42296046,50.0,c4d_150626_101043_ooi_i_ls10.fits.fz,55,DECam,unknown
2005 UY6,350.42653,-5.5871,2655.162221005867,1217.914001602473,2017-07-25,57959.25990473,146.0,c4d_170725_061733_ooi_g_v1.fits.fz,29,DECam,unknown
2005 UY6,350.42653,-5.5871,2655.1554429400817,1217.9172066452545,2017-07-25,57959.25990473,146.0,c4d_170725_061733_ooi_g_ls9.fits.fz,29,DECam,unknown
2005 UY6,337.80051,-10.0988,2243.1255867064633,440.8499621153278,2017-09-21,58017.03709335,88.0,c4d_170921_005324_ooi_r_ls9.fits.fz,14,DECam,unknown
2005 UY6,337.58465,-10.16893,3611.8986228901967,1445.27399399373,2017-09-22,58018.03577375,130.0,c4d_170922_005130_ooi_g_v1.fits.fz,13,DECam,unknown
2005 UY6,337.58465,-10.16893,3611.8919767014186,1445.2742736597356,2017-09-22,58018.03577375,130.0,c4d_170922_005130_ooi_g_ls9.fits.fz,13,DECam,unknown
2005 UY6,358.13544,3.2137,2974.0022860572435,544.3142683626538,2018-09-10,58371.3730718,80.0,2301271p.fits.fz,39,MegaCam,unknown
2005 UY6,358.13504,3.21356,3354.079213877889,85.69072807425619,2018-09-10,58371.3745565,80.0,2301272p.fits.fz,27,MegaCam,unknown
2005 UY6,357.86947,3.12115,678.1544043591748,1473.5389188564982,2018-09-11,58372.3694718,80.0,2301554p.fits.fz,3,MegaCam,unknown
2005 UY6,357.02435,2.8233,2147.293413221499,782.5343885032626,2018-09-14,58375.4836856,80.0,2301838p.fits.fz,25,MegaCam,unknown
2005 UY6,356.56633,2.65927,462.29305960189055,803.1505423149063,2018-09-16,58377.14931535,80.0,c4d_180916_033500_ooi_z_v1.fits.fz,36,DECam,unknown
2005 UY6,356.56633,2.65927,462.2940718652062,803.1530815815853,2018-09-16,58377.14931535,80.0,c4d_180916_033500_ooi_z_ls9.fits.fz,36,DECam,unknown
