name,a,e,i,q,Tj,H,P_Rot,q,R,Percentage JFC,a1,a1sig,a2,a2sig,a3,a3sig
,[AU],,[deg],[AU],,[Mag],[hr],,[m],[\%],[Au d$^{-2}$],[Au d$^{-2}$],[Au d$^{-2}$],[Au d$^{-2}$],[Au d$^{-2}$],[Au d$^{-2}$]
2003 RM,2.92,0.6,10.86,1.168,2.95901068,19.8,,0.023,,3.9,,,2.10E-12,,,
2012 UR158,2.23,0.857,3.19,0.31889,3.00686753,20.7,,,629,0,,,-7.70E-12,,,
2001 ME1,2.63,0.87,5.96,0.3419,2.6756268,16.53,,0.018,2249,11.5,,,-2.50E-13,,,
2005 UY6,2.25,0.87,12.21,0.2925,2.94624093,18.14,,,,,,,-6.50E-13,,,
1998 FR11,2.81,0.71,6.67,0.8149,2.87962678,16.42,,,,2.6,,,3.50E-13,,,
1998 KY26,1.23,0.2,1.48,0.984,5.18254043,25.6,0.178,,30,,,,,,3.20E-11,
2005 VL1,0.89,0.23,0.25,0.6853,6.65105998,26.45,,,,,,,,,-2.40E-11,
2016 NJ33,1.31,0.21,6.64,1.0349,4.94634589,25.49,$0.41$-$1.99$,,,,,,,,8.48E-11,
2010 VL65,1.07,0.14,4.41,0.9202,5.75799998,29.22,,,,,,,,,-9.13E-11,
2010 RF12,1.06,0.19,0.88,0.8586,5.79466819,28.42,,,,,,,,,-1.68E-11,
2006 RH120,1,0.04,0.31,0.96,6.07909058,29.5,0.046,,,,,,,,-1.30E-11,
2015 WN1,1.41004259,0.37134574,0.50400834,0.88642928,4.65663741,26.3,,,,,,,,,-1.11E-11,
2016 GW221,0.82758958,0.26727729,3.75754406,0.60639368,7.05390849,24.76,0.2856,,,,,,,,3.31E-11,
2012 BB14,1.06270627,0.09875398,2.64118947,0.9577598,5.79449469,24.99,,,,,,,,,-2.10E-11,
```````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````,1.75442078,0.44479228,5.22312959,0.97406797,4.00149277,25.4,,,,,,,,,1.97E-11,
2003 AF23,0.87444089,0.42585123,23.2310494,0.50205916,6.63179223,21.01,1.99E+01,,,,1.95E-09,,,,,
2011 BT15,1.29283195,0.30242584,1.66175701,0.90184616,4.97436603,21.7,1.09E-01,,,,-3.15E-10,,,,,
1989 UP,1.8617322,0.47212062,3.85530265,0.98277004,3.84695403,20.55,6.98E+00,,3.00E+02,,-1.44E-10,,,,,
2013 XY20,1.133786624,0.1090095798,2.852997289,1.010193021,5.516,25.65,,,,,1.44E-10,,-1.30E-12,,-1.11E-10,
